iter	Logloss
0	0.5927579062
1	0.5034996214
2	0.4454886573
3	0.399846077
4	0.3503392537
5	0.3179768835
6	0.2968442781
7	0.2768828982
8	0.2564435913
9	0.24251595
10	0.2290409179
11	0.2126404899
12	0.2030578114
13	0.1909226463
14	0.1844008196
15	0.1772822653
16	0.1744022142
17	0.1629478818
18	0.158882459
19	0.1538406327
20	0.1497902984
21	0.1457370576
22	0.1413581258
23	0.137533097
24	0.13407395
25	0.1292169435
26	0.1257620993
27	0.1235951015
28	0.120582433
29	0.1176030863
30	0.1142054967
31	0.1117207663
32	0.1101770628
33	0.108113357
34	0.1049445357
35	0.1022751558
36	0.09991394906
37	0.09674988474
38	0.09429553009
39	0.09272031557
40	0.09076468717
41	0.08985812323
42	0.08788140047
43	0.08553230195
44	0.08334870566
45	0.08188857919
46	0.08035756293
47	0.07926457837
48	0.07770849977
49	0.07645406042
50	0.07613452276
51	0.0749917598
52	0.07374799819
53	0.07193553448
54	0.07125138101
55	0.07035123167
56	0.06957347052
57	0.06896831876
58	0.06807661624
59	0.06705042862
60	0.06616999989
61	0.06543310483
62	0.06437783582
63	0.06368924323
64	0.06310650281
65	0.06249656564
66	0.06199916204
67	0.0614305167
68	0.06100092615
69	0.06048568657
70	0.0599833216
71	0.05966361364
72	0.0590898423
73	0.05863212404
74	0.05826380139
75	0.05761038122
76	0.05700229463
77	0.0565917719
78	0.05634313538
79	0.05594178608
80	0.05553497587
81	0.05531949089
82	0.05490924063
83	0.05453662645
84	0.05419317314
85	0.05389819826
86	0.05349897203
87	0.05332981405
88	0.05316669033
89	0.05287155651
90	0.05253795215
91	0.05225017525
92	0.05200174309
93	0.05169748125
94	0.05143654914
95	0.05130550975
96	0.05118021511
97	0.05092830885
98	0.0506587142
99	0.05042816344
100	0.05022059736
101	0.05002957866
102	0.04982557183
103	0.04960606212
104	0.04939863228
105	0.04921515783
106	0.04891830967
107	0.04873247941
108	0.04852709316
109	0.04830006191
110	0.04812884331
111	0.04784773645
112	0.04768860908
113	0.04753852458
114	0.04738401515
115	0.04724551383
116	0.04710804565
117	0.04699184781
118	0.04681475957
119	0.04668960401
120	0.04652458146
121	0.04640853405
122	0.04626014687
123	0.04612786429
124	0.04599039895
125	0.04585631688
126	0.04575563612
127	0.04561656997
128	0.04547144685
129	0.04535037563
130	0.0451915775
131	0.04504131135
132	0.04493632487
133	0.04480134589
134	0.04468964395
135	0.04459170784
136	0.04449690807
137	0.04440782184
138	0.04430542673
139	0.04421701318
140	0.04413589409
141	0.04404649848
142	0.04393371798
143	0.04385010118
144	0.04375729674
145	0.04368642966
146	0.04357191495
147	0.04345895279
148	0.04338700715
149	0.04331537372
150	0.04319821653
151	0.04311351833
152	0.04301888318
153	0.04292045037
154	0.04284092074
155	0.04273500613
156	0.0426870102
157	0.04259632883
158	0.04251023134
159	0.04240339143
160	0.0423414622
161	0.0422474373
162	0.04218572094
163	0.0420968419
164	0.04200329383
165	0.04196324519
166	0.04190729913
167	0.04184947411
168	0.04178683531
169	0.04169154735
170	0.04165072668
171	0.0416140386
172	0.0415770894
173	0.04153155429
174	0.04146084331
175	0.04139560177
176	0.04136087213
177	0.04132204396
178	0.04127916268
179	0.04124436208
180	0.04120289712
181	0.04116350696
182	0.04109531925
183	0.04104059367
184	0.04098162197
185	0.04094374464
186	0.04088764247
187	0.04085726965
188	0.04081636951
189	0.04077149289
190	0.04072713852
191	0.04068585237
192	0.0406376237
193	0.04060078803
194	0.04056534597
195	0.04049475136
196	0.04046746663
197	0.04043133202
198	0.04039582184
199	0.04036050467
200	0.04032072567
201	0.04027548007
202	0.0402404524
203	0.04020608323
204	0.04017277275
205	0.04014005547
206	0.04010698909
207	0.04005752859
208	0.04000666596
209	0.03997510672
210	0.03992246446
211	0.03989548343
212	0.03985241481
213	0.03979462669
214	0.03975986299
215	0.0397255222
216	0.03968454543
217	0.0396361351
218	0.03961619025
219	0.03958875225
220	0.03955959138
221	0.03951233342
222	0.03947382314
223	0.03944242568
224	0.03941216355
225	0.03938377755
226	0.03935357786
227	0.03931084985
228	0.03928698812
229	0.03924566791
230	0.0392161778
231	0.03919466904
232	0.0391679321
233	0.03913207281
234	0.0391026934
235	0.03907653831
236	0.03905579306
237	0.03902215049
238	0.03898391837
239	0.03895116704
240	0.03892211119
241	0.03887960173
242	0.03884864137
243	0.03882385719
244	0.03879339922
245	0.03876722994
246	0.03874033973
247	0.03872087456
248	0.03868929261
249	0.03866337027
250	0.03863941488
251	0.0386162826
252	0.03858307146
253	0.03856423355
254	0.03854640893
255	0.03852510168
256	0.03850358157
257	0.03848125253
258	0.03844979831
259	0.03841683978
260	0.03840099062
261	0.03838722479
262	0.03836551734
263	0.03834967386
264	0.03832388492
265	0.03829432101
266	0.03827313582
267	0.03824909528
268	0.03821679524
269	0.03819718247
270	0.0381782509
271	0.03815409967
272	0.03812467484
273	0.03810656922
274	0.0380899083
275	0.03806935606
276	0.03804921536
277	0.03803244091
278	0.03800244558
279	0.03797181447
280	0.03794965858
281	0.03793466659
282	0.03791618915
283	0.03790056989
284	0.0378851777
285	0.03786973442
286	0.03785240366
287	0.03783913737
288	0.03782191447
289	0.03780724605
290	0.03778757652
291	0.03777476436
292	0.03775124039
293	0.037737256
