DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,AB_Mix_t,Q,Cata_Code,MCS,TC_Method,TC_T,Closed_CC,TC
110100000,31.5,437.0548597,5.954148119,1000,18,95.95384615,0.961538462,1.5687242,1.128176511,0.056,4.62962963,98.43955031,1.05,34.5,10,463.43,11000,283.879,1,283.15,73.4766,35.95
110100000,31.5,428.5383998,5.81056859,1000,18,105.0223158,1.052631579,1.591019547,1.163413794,0.056,4.811898513,98.4193699,1.05,33.7,10,465.83,11000,281.232,1,283.15,70.6635,36.43
110100000,31.5,418.1309043,5.855200044,1000,18,116.6534884,1.162790698,1.600723012,1.163413794,0.056,5.01939311,98.39761098,1.05,32.8,10,465.83,11000,297.623,1,283.15,70.5877,36.36
110000000,31.2325,446,4.6,1001,61.24858765,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,15.41,0,100000,516,1,298.15,91.1,26.6
110010000,31.194,435.8960504,4.432762213,1001,59.30646173,97.1,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,15.53,0,100000,448,1,298.15,89.5,24.7
110010000,31.194,425.5281063,4.261154862,1001,60.12113684,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,15.57,0,100000,480,1,298.15,90.1,24.9
110010000,31.193,413.5933891,4.063614717,1001,59.92192652,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,15.72,0,100000,739,1,298.15,92.2,25.9
110010000,31.193,387.9340891,3.638909061,1001,59.79061267,96.5,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,15.68,0,100000,748,1,298.15,95.6,27.5
110000001,31.2,375.1751086,3.633860468,1001,50.61856018,89.74782846,9.61583075,1.594001418,3.163575164,0.121538889,10.11824241,95.03617995,1.1,54.08766769,14,0,11010,500,1,298.15,66.4369,40
110001001,31.2,378.9146629,3.884261645,1001,47.75228804,84.13588413,9.069808718,1.639898683,2.66804079,0.135952222,9.616585179,95.35726524,1.1,54.52270731,14,0,11010,405.923,1,298.15,67.6657,38
