DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,CS_rate,CS_TD,Closed_CC,CS(KPa)
100010000,31,450,6.6,1000,18,62,1.24,1.55,0,0.14,3.791011856,97.69999582,1.48,61.7,180,8,648,0,219,0.001666667,0,95.5,179
100010000,31,480,7.1,1000,18,60,1.22,1.52,0,0.14,3.71948333,97.72652116,1.44,62.16,180,8,648,0,247,0.001666667,0,94.6,207
100010000,31,485,7.3,1000,18,60,1.21,1.5,0,0.14,3.70819849,97.73074225,1.42,62.24,180,8,648,0,227,0.001666667,0,95.3,191
100010000,31,500,7.4,1000,18,60,1.21,1.5,0,0.14,3.674751119,97.743312,1.38,62.45,180,8,648,0,200,0.001666667,0,92.2,230
100010000,31,515,7.9,1000,18,59.6,1.192,1.49,0,0.14,3.641901735,97.75574326,1.35,62.66,180,8,648,0,211,0.001666667,0,91,238
111000000,32.6,408.0469043,4.531578095,1000,18,76.77766697,1.8,1.6,2,0.075,4.342105263,98.16819317,1.1,54.4,10,10,18.5,101000,218.321,0.003395244,0,84,714
111010000,32.6,303.7719002,4.783324505,1000,18,88.07273468,3.8,3.7,4.5,0.072,9.346405229,97.69892992,1.1,54.4,10,10,18.5,101000,172.8,0.004125126,0,89,405
111000000,32.6,408.0469043,4.517374619,1000,18,76.48961624,1.8,1.6,2,0.075,4.342105263,98.16819317,1.1,54.4,10,10,18.5,101000,217.08798,0.00339485,1,84,548
111010000,32.6,303.7719002,4.788071742,1000,18,87.88838968,3.8,3.7,4.5,0.072,9.346405229,97.69892992,1.1,54.4,10,10,18.5,101000,176.713,0.004125782,1,89,283
110100000,31.5,407.3649779,5.162248816,1000,18,80,2.16,2.4,0.8,0.15,5.28,97.11412331,1.3,55.56,60,10,201.715,100000,566,0.001666667,0,81,230.3
110100000,31.5,407.3649779,4.988019559,1000,18,80,2.16,2.4,0.8,0.15,5.28,97.11412331,1.3,55.56,60,10,184.235,100000,534.55827,0.001666667,1,81,151
110000000,31,440,4.5,1000,18,85.47008547,2.991452991,1.282051282,1.282051282,0.194444444,7.312440646,96.64177341,1.1,59.86861224,176.3,8.18,50.69,100000,102.7,0.002528736,0,88.4,382.5
