DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,AB_Mix_t,Q,Cata_Code,MCS,TC_Method,TC_T,Closed_CC,S_TC
110100000,31.5,407.3649779,4.9781439,1000,18,80,2.16,2.4,0.8,0.15,5.28,97.11412331,1.3,55.56,10,99.59076,100000,566,1,283.15,81,0.907692308
101000000,31,240,2,1001,42.34328942,75.15702362,4.998236441,1.602481862,3.0065,0.159816667,7.398000313,96.22871002,1.1,51.07998603,15,0,10100,480,1,298.15,91.1,0.656167979
110000000,31.25,450,3.672311567,1000,18,77.86997583,1.715525301,1.557399517,3.114799033,0.11,3.806976596,97.93211004,1.05,56.45147859,15.84,0,100100,271.66,3,296.63,84.2627,0.355419847
110100000,31.25,535.8486693,3.609604488,1000,18,62.65878191,2.623626034,1.508248145,1.593165496,0.11,6.451502111,95.19585496,1.05,61.44545117,13.82,0,100100,260.837,3,294.495,89.6157,0.502445652
110100000,31.25,542.5335781,3.658544496,1000,18,62.88026135,2.637016221,1.493517833,1.675137241,0.11,6.521796989,95.30261131,1.05,61.39883589,13.77,0,100100,260.317,3,294.595,89.3366,0.447038328
110100000,31.25,545.5700376,3.6656818,1000,18,63.06079596,2.595626034,1.489778453,1.743967168,0.11,6.436526633,95.21274615,1.05,61.33212423,13.81,0,100100,261.896,3,294.595,88.9356,0.356039604
110100000,31.25,546.7777854,3.6956818,1000,18,63.2822754,2.588990292,1.489652449,1.743567168,0.11,6.378693502,95.22297803,1.05,61.23587959,13.81,0,100100,262.451,3,294.595,88.9716,0.370353982
100100000,31.25,574.9967093,4.601435237,1000,18,47.26946306,12.14028268,1.660089273,0.852251233,0.11,21.12838806,88.40010038,1.05,67.10298711,15.04,0,100100,378,3,293.195,81.7411,0.575995316
100100000,31.25,702.5820816,5.255675245,1000,18,53.51073308,12.09522625,1.681353321,0.959139296,0.11,22.73331272,86.61627819,1.05,64.29805996,14.54,0,100100,248,3,292.995,82.078,0.477378436
100100000,31.25,615.5116833,4.927991764,1000,18,50.36104508,11.98221674,1.616570786,0.961510277,0.11,20.81123962,88.25758123,1.05,64.97616615,15.1,0,100100,370,3,293.02,80.879,0.364339623
100100000,31.25,621.5016224,4.786030589,1000,18,47.84142145,12.22040296,1.653069916,0.90249028,0.11,19.65864916,88.14608769,1.05,66.81765076,15.53,0,100100,405,3,293.67,82.614,0.514701803
110000010,31,436,2,1000,18,46.4,2.3,0.7,0.93,0.278,5.671564836,96.2962963,1.1,68.3,15,0,100000,331,3,295.3,71.8215,0.891875382
110100010,31,418.1668164,2,1000,18,51.7,2.6,0.78,1,0.278,6.316393913,96.03174603,1.1,66,15,0,100000,393,3,294.07,55.5416,1.023263655
110100010,31,402.0318976,2,1000,18,55.6,2.8,0.83,1.1,0.278,6.797676431,95.84701929,1.1,64.3,15,0,100000,410,3,302.81,52.5629,1.215553977
110100010,31,394.5269879,2,1000,18,57.3,2.9,0.86,1.1,0.278,7.000127275,95.77232023,1.1,63.6,15,0,100000,422,3,304.75,49.6068,1.194158076
110000000,31,440,4.5,1000,18.37438693,85.47008547,2.991452991,1.282051282,1.282051282,0.194444444,7.312440646,96.37063768,1.1,56.3721191,12.26,76.74038,100000,102.7,1,298.15,88.4,0.504405286
110010000,31,429,4.524338235,1000,18.50868782,89.28571429,3.125,1.339285714,1.339285714,0.194444444,7.638888889,96.31045334,1.1,56.90122006,11.86,63.84,100000,96.1,1,298.15,88.4,0.520361991
110010000,31,417.0434783,4.550792839,1000,18.50868782,92.59259259,3.240740741,1.388888889,1.388888889,0.194444444,7.9218107,96.31419346,1.1,55.92460105,11.4,56.64,100000,115.1,1,298.15,87.1,0.542857143
110010000,31,404,4.579652406,1000,18.50868782,97.08737864,3.398058252,1.45631068,1.45631068,0.194444444,8.306364617,96.39630439,1.1,54.60956405,11.46,56.44557,100000,125.1,1,298.15,86.6,0.546539379
110010000,31,428.9540502,4.474916586,1000,18.50868782,89.28571429,3.125,1.339285714,1.339285714,0.194444444,7.638888889,96.31039284,1.1,56.90122006,11.91,63.84,100000,98.2,1,298.15,88.1,0.520547945
110010000,31,416.9357072,4.447625037,1000,18.50868782,93.45794393,3.271028037,1.401869159,1.401869159,0.194444444,7.995846314,96.33620726,1.1,55.45818276,11.33,71.52,100000,89,1,298.15,87.9,0.530232558
110010000,31,403.810657,4.417820351,1000,18.50868782,97.08737864,3.398058252,1.45631068,1.45631068,0.194444444,8.306364617,96.40424566,1.1,54.53114577,11.44,80.06076,100000,85.6,1,298.15,86.4,0.553140097
101000000,31,240,4.636032376,1001,44.47152104,62.5,13.76,1.56,4.25,0.152,7.638888889,95.64735676,2,61.5,30,0,10100,345,1,298.15,92.1,0.666666667
101100000,31,253.5895632,4.736074217,1001,44.47152104,62.55,13.76,1.56,4.25,0.152,7.638888889,95.64735676,2,61.5,30,0,10100,320,1,298.15,89.3,0.702702703
101100000,31,266.1538462,4.807595137,1001,44.47152104,62.5,13.76,1.56,4.25,0.152,7.638888889,95.64735676,2,61.5,30,0,10100,310,1,298.15,86.4,0.763157895
101100000,31,277.8135353,5.055968156,1001,44.47152104,62.6,13.76,1.56,4.25,0.152,7.638888889,95.64735676,2,61.5,30,0,10100,280,1,298.15,80.2,0.820512821
110000000,31,400,3.071740749,101,115.5823009,86.23282826,7.437970605,1.630187497,0.872000842,0.015363333,8.840899016,96.01367963,1.1235,53.77638182,9,223.29519,100000,247,1,297.15,91,0.60960961
100100000,30,577.6,6,1000,18,50,1,1.95,1.75,0.011,55,68.67881549,1.4,66.7,15.21,286.15595,100000,364.95,1,298.15,73.578,0.824786325
100100000,30,577.6,6,1000,18,45,1.4,1.78,1.6,0.0167,50,70.36637931,1.5,68.75,15.36,285.31114,100000,357.787,1,298.15,74.7847,0.821670429
100100000,30,500.6,6,1000,18,36,0.71,1.4,1.25,0.011,39.28571429,74.48979592,2.4,73.7,16.57,374.59038,100000,298.623,1,298.15,77.5612,0.689655172
100100000,30,531.8,6,1000,18,62.5,1.25,1.44,2.2,0.011,68.75,64.6529563,1.2,61.5,14.76,291.22633,100000,387.011,1,298.15,70.2884,0.915517241
100100000,30,531.8,6,1000,18,55.6,1.67,1.28,1.9,0.0167,61.11111111,66.78743961,1.3,64.3,14.9,284.86633,100000,385.857,1,298.15,63.739,1.073170732
100100000,30,450.4,6,1000,18,45,1.4,1,1.6,0.0167,50,70.36637931,1.8,68.75,15.93,318.19076,100000,308.633,1,298.15,77.9886,0.662790698
101000000,31.27,534,4.474855894,0,0,97.1,0,1.494814122,0,0,0,100,1.57,50.7,10,0,100000,588,2,291.945,73.8391,0.696531792
101001000,31.268,501.7080223,4.261821427,101,148.1,97.1,0.87,1.502183647,0.049,0,0.873786408,99.55979457,1.56,50.7,10,0,100000,548,2,293.755,77.6605,0.702064897
101001000,31.254,497.6933065,4.196149049,1,148.1,97.1,1.7,1.498947473,0.1,0,1.747572816,99.12578922,1.54,50.7,10,0,100000,448,2,294.7,76.6484,0.662983425
101001000,31.2625,481.7637212,4.189800905,1,148.1,97.1,2.6,1.508871875,0.15,0,2.621359223,98.69785387,1.53,50.7,10,0,100000,393,2,294.98,77.4688,0.573141487
101001000,31.2625,478.5109722,4.162776934,1,148.1,97.1,3.5,1.484420742,0.2,0,3.495145631,98.27586207,1.52,50.7,10,0,100000,255,2,296.27,78.6365,0.469043152
101100000,31.221,429.9397942,3.955760473,1,148.1,97.1,0.87,1.568222952,0.209589333,0,0.873786408,99.55979457,1.57,50.7,10,0,100000,419,2,294.75,76.4115,0.676056338
101100000,31.226,424.7021361,3.960038311,1,148.1,97.1,1.7,1.574598515,0.254447599,0,1.747572816,99.12578922,1.56,50.7,10,0,100000,347,2,295.405,76.0603,0.612987013
101100000,31.2475,417.7672702,3.937147715,1,148.1,97.1,2.6,1.58093041,0.293149244,0,2.621359223,98.69785387,1.54,50.7,10,0,100000,305,2,295.375,75.9346,0.560096154
101100000,31.2545,417.6701399,3.954944239,1,148.1,97.3,3.5,1.597179084,0.303455452,0,3.495145631,98.27586207,1.53,50.7,10,0,100000,304,2,295.815,77.7867,0.573459716
110010000,31.5,424.1715521,4.286650746,101,131.231,72.5,1.1,1.45,0.72,0.00903,22.77657267,88.45307918,1.1,58,20,0,100000,518,1,298.15,97,0.639257294
110010000,31.5,424.1715521,4.232774055,101,129.75,72,1.08,1.44,0.72,0.00903,22.67818575,88.4784199,1.1,58.1,20,0,100000,522,1,298.15,97,0.619725738
100010000,31.5,323,4.284981842,1000,18,66,2,1.3,1.99,0.167,4.856512141,97.16859717,1.25,60.2,8.15,74.68038,100100,152,1,283.15,88,0.624742268
100010010,31.5,323,4.304453079,1000,18,65,2.05,1.4,2.02,0.167,5.005688282,97.11853307,1.25,61,8.45,79.69557,100100,170,1,283.15,77.9,0.818181818
100010010,31.5,323,4.286505372,1000,18,64,2.13,1.42,2.15,0.167,5.200945626,97.05488621,1.25,61,8.4,83.59557,100100,186,1,283.15,64.4,0.776412776
100010010,31.5,323,4.157878629,1000,18,62,2.19,1.5,2.18,0.167,5.352798054,97.00680272,1.25,61.7,8.13,83.11557,100100,204,1,283.15,31.3,0.81042654
100010010,31.5,323,4.13647316,1000,18,61,2.3,1.5,2.31,0.167,5.555555556,96.94444444,1.25,62.3,8.55,86.54557,100100,207,1,283.15,18.5,0.825775656
100010010,31.5,323,4.346960146,1000,18,59,2.4,1.57,2.34,0.167,5.756148613,96.8847352,1.25,63,8.71,84.48114,100100,305,1,283.15,15.4,0.870283019
100010001,31.5,323,4.36584266,1000,18,65,2.05,1.4,2.02,0.167,5.005688282,97.11853307,1.25,61,8.37,80.56038,100100,149,1,283.15,81.8,0.776155718
100010001,31.5,323,4.420855785,1000,18,64,2.13,1.42,2.15,0.167,5.200945626,97.05488621,1.25,61,8.58,83.92038,100100,196,1,283.15,80.3,0.767901235
100010001,31.5,323,4.39882934,1000,18,62,2.19,1.5,2.18,0.167,5.352798054,97.00680272,1.25,61.7,8.84,82.96038,100100,202,1,283.15,83.8,0.699074074
100010001,31.5,323,4.36071076,1000,18,61,2.3,1.5,2.31,0.167,5.555555556,96.94444444,1.25,62.3,9.52,97.72038,100100,213,1,283.15,91.2,0.608602151
100010001,31.5,323,4.702149671,1000,18,59,2.4,1.57,2.34,0.167,5.756148613,96.8847352,1.25,63,9.85,79.22557,100100,259,1,283.15,86.3,0.461977186
110000001,31.5,406,4.3,1001,83.91397944,72.7,24.14,1.7,0.76,0.083,25.50505051,87.37894408,1.1,56.9,15,3.83595,100000,510,1,298.15,94,0.70718232
110001001,31.5,390,5.7,1001,81.9500342,75,24.17,1.76,0.78,0.083,26.26105044,87.19655194,1.1,56.2,15,17.80152,100000,460,1,298.15,97,0.639896373
