group,count,ratio,AD_mean,AD_max,AD_min,CS_mean,CS_max,CS_min,TC_mean,TC_max,TC_min
High Density,146,0.49829351535836175,69.82116438356164,148.0,43.5,439.7298507462686,2890.0,69.6,31.795169491525424,53.1,19.42
Low Density,147,0.5017064846416383,35.992108843537416,43.4,18.7,183.42560975609754,357.0,49.1,28.38647142857143,51.0,15.1
