iter	RMSE
0	0.2779181674
1	0.275169294
2	0.271434529
3	0.2685909407
4	0.2655395074
5	0.2633173276
6	0.260860447
7	0.258341372
8	0.2554188981
9	0.2529852402
10	0.2499548917
11	0.2468497622
12	0.2444475774
13	0.2420197286
14	0.2400525657
15	0.2380472924
16	0.2356462889
17	0.2329584951
18	0.2301767461
19	0.227639877
20	0.2252566628
21	0.2233572398
22	0.2211443806
23	0.2187227227
24	0.2167410656
25	0.2147815932
26	0.2128688473
27	0.2107509211
28	0.2083883739
29	0.2069008185
30	0.2053811167
31	0.2036083114
32	0.202019884
33	0.2003450586
34	0.1982621058
35	0.196636282
36	0.1953200447
37	0.1936409671
38	0.1922972533
39	0.1907214994
40	0.1891467529
41	0.1879062581
42	0.1869193283
43	0.1854480602
44	0.1838927195
45	0.1825612272
46	0.1814392349
47	0.1796757964
48	0.1785820141
49	0.177212973
50	0.176006231
51	0.1749544873
52	0.1739790505
53	0.1723959802
54	0.1714556299
55	0.1704375331
56	0.1694932288
57	0.1681723362
58	0.1671774719
59	0.1662615018
60	0.1648921872
61	0.1638207122
62	0.1624770349
63	0.1617507822
64	0.1610270669
65	0.1600467212
66	0.1592177433
67	0.1583252021
68	0.157490096
69	0.1568394834
70	0.1558965692
71	0.1551537003
72	0.1542250828
73	0.1532795593
74	0.1526835435
75	0.1520263148
76	0.1510980901
77	0.1502072777
78	0.1494038463
79	0.1485375121
80	0.1475875374
81	0.1470658322
82	0.1463797104
83	0.1456251811
84	0.144938423
85	0.1441244564
86	0.1433662415
87	0.1428875403
88	0.1421143581
89	0.141475783
90	0.1409019125
91	0.1402819121
92	0.1397342628
93	0.139225009
94	0.1384974405
95	0.1379361435
96	0.1374366051
97	0.1369750358
98	0.1362959016
99	0.1358411384
100	0.1352362541
101	0.1345170317
102	0.1340120701
103	0.1335740606
104	0.133009104
105	0.1324296048
106	0.131825309
107	0.1312403289
108	0.1307243186
109	0.1302520952
110	0.1296319597
111	0.129161739
112	0.1286540043
113	0.1282402207
114	0.1276184177
115	0.1271205917
116	0.1268329459
117	0.1261911302
118	0.1257370747
119	0.1253872815
120	0.1249757943
121	0.1244155135
122	0.1239951544
123	0.1236488744
124	0.123250607
125	0.1229105402
126	0.1225448541
127	0.1220073638
128	0.1216625659
129	0.1211945026
130	0.1206965271
131	0.1202894896
132	0.1198513214
133	0.1196716676
134	0.1192631078
135	0.118782582
136	0.1183891774
137	0.1180414566
138	0.1178329202
139	0.117347172
140	0.1168978274
141	0.1166045016
142	0.1162533414
143	0.1159344134
144	0.1156387247
145	0.115375611
146	0.1151333423
147	0.1147563747
148	0.1144877036
149	0.113947853
150	0.113598606
151	0.1132436115
152	0.1130012291
153	0.1126690335
154	0.1122110236
155	0.1118383675
156	0.1116236569
157	0.1114693914
158	0.1109796763
159	0.1107751863
160	0.1103926805
161	0.1101507633
162	0.1097856045
163	0.1095904719
164	0.1093556823
165	0.1090186757
166	0.1087933074
167	0.1085210689
168	0.1081252928
169	0.1079082743
170	0.1075644171
171	0.1073091356
172	0.1068313132
173	0.1064030784
174	0.1060376612
175	0.1057871121
176	0.10555187
177	0.105207854
178	0.1050980311
179	0.1048267671
180	0.1046694402
181	0.1044325704
182	0.1042587019
183	0.1039639851
184	0.1036668878
185	0.1031231021
186	0.1028402058
187	0.1025950482
188	0.1024230907
189	0.1021794233
190	0.101959911
