Feature,Seed,Fold,R²,MAE,MSE,RMSE,RSE
S_CS,0,1,0.5958899828169151,0.07943013213524838,0.012841479686813076,0.11332025276539529,0.6356964819653205
S_CS,0,2,0.791623013037368,0.06976537482255411,0.009299953605779336,0.09643626706680083,0.45648328223784057
S_CS,0,3,0.8042235735500656,0.056215163069897135,0.005608495731777134,0.07488989071815458,0.4424662997900907
S_CS,1,1,0.8408306706317941,0.05506649408190671,0.006221384861694029,0.07887575585497757,0.3989603105174824
S_CS,1,2,0.6208747592215325,0.07289144782353456,0.01253766528619443,0.1119717164564089,0.6157314680755464
S_CS,1,3,0.7364954647235501,0.07223533420820225,0.009511041186065347,0.0975245670898638,0.513326928259613
S_CS,2,1,0.2811013794720332,0.07543964363255778,0.01610365355546783,0.1269001716132324,0.8478788949655292
S_CS,2,2,0.7894694435399467,0.06625247770196827,0.008271924440645482,0.0909501206191915,0.4588360888814798
S_CS,2,3,0.7895028400156068,0.07363115220801791,0.009489542458861785,0.09741428262252813,0.45879969483903676
S_CS,3,1,0.6971679055068203,0.0660029440550486,0.010200085205012172,0.10099547121040711,0.5503018212700914
S_CS,3,2,0.6931364407617678,0.07085517075041911,0.008647158217736053,0.09299009741760707,0.5539526687707463
S_CS,3,3,0.7695332993279802,0.0758301842451441,0.010747837271973142,0.10367177664134604,0.48006947483881934
S_CS,4,1,0.7367353194050433,0.07575400043853761,0.01102240371882359,0.10498763602836092,0.5130932474657571
S_CS,4,2,0.6611255569130793,0.07473576803294654,0.012019491137883368,0.10963343987070445,0.5821292322903229
S_CS,4,3,0.6504275079142385,0.07070879318051183,0.010338650951043976,0.10167915691548576,0.5912465577792073
S_CS,5,1,0.6872455173645613,0.07739502366980665,0.009043932849029088,0.09509959436837304,0.5592445642430856
S_CS,5,2,0.6429333542881384,0.0684007473345811,0.010776141885462595,0.10380819758315138,0.5975505382073232
S_CS,5,3,0.7535350722679006,0.07276286696735552,0.01207705204426373,0.1098956416072254,0.4964523418537769
S_CS,6,1,0.48558772525152116,0.08588349050527296,0.014675760957439237,0.12114355516262199,0.7172254002393382
S_CS,6,2,0.7399245554436118,0.06218043185948273,0.008716889075936615,0.09336428158528622,0.5099759254674561
S_CS,6,3,0.7236034211721911,0.07805687037729028,0.011391795262383514,0.10673235340037956,0.5257343234256338
S_CS,7,1,0.6992333157558215,0.08217332551850598,0.013759823532507823,0.1173022742000675,0.5484219946757958
