DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,C_BA_MR,M_loss,Yield,R,CHS,A_Mix_T,AB_Mix_T,Q,Cata_Code,MCS,Closed_CC,AD,TC,CS,Quadrant,Region,Density_Level,Region_Density
101100000,,,,1.0,148.1,97.1,1.7,,,0.0,1.747572816,99.125789218067,1.56,50.7,600.0,10.0,0.0,100000,347.0,,38.5,23.6,196.1,--,C,Low,C2
101100000,,,,1.0,148.1,97.1,2.6,,,0.0,2.621359223,98.6978538702677,1.54,50.7,600.0,10.0,0.0,100000,305.0,,41.6,23.3,205.1,+-,B,High,B1
101100000,,,,1.0,148.1,97.3,3.5,,,0.0,3.495145631,98.2758620689655,1.53,50.7,600.0,10.0,0.0,100000,304.0,,42.2,24.2,157.8,--,C,High,C1
110010000,31.5,424.171552138395,,101.0,,72.5,1.1,1.45,0.72,,22.77657267,88.4530791788856,1.1,58.0,1200.0,20.0,0.0,100000,518.0,97.0,37.7,24.1,180.0,--,C,Low,C2
110010000,31.5,424.171552138395,,101.0,,72.0,1.08,1.44,0.72,,22.67818575,88.478419897586,1.1,58.1,1200.0,20.0,0.0,100000,522.0,97.0,37.92,23.5,180.0,--,C,Low,C2
110000001,31.5,406.0,4.3,1001.0,,72.7,24.14,1.7,0.76,0.083,25.50505051,87.378944079975,1.1,56.9,300.0,15.0,,100000,510.0,94.0,36.2,25.6,180.0,-+,D,Low,D2
110001001,31.5,390.0,5.7,1001.0,,75.0,24.17,1.76,0.78,0.083,26.26105044,87.1965519427014,1.1,56.2,300.0,15.0,,100000,460.0,97.0,38.6,24.7,140.0,--,C,Low,C2
110001001,31.5,411.0,7.13,1001.0,,72.0,23.63,1.69,0.75,0.083,25.25631408,87.4401542000871,1.1,57.1,300.0,15.0,,100000,470.0,99.0,40.1,24.7,150.0,--,C,High,C1
110001001,31.5,405.0,9.9,1001.0,,72.9,24.14,1.71,0.759301443,0.083,25.56314857,87.3647338462501,1.1,56.8,300.0,15.0,,100000,430.0,97.0,38.8,25.2,150.0,--,C,Low,C2
110000001,31.5,412.0,4.3,1001.0,,72.7,24.14,1.7,0.757002271,0.083,25.48574312,87.3836737243145,1.1,56.9,300.0,15.0,,100000,490.0,91.0,38.2,25.2,140.0,--,C,Low,C2
110001001,31.5,397.0,5.7,1001.0,,75.0,24.17,1.76,0.78,0.083,26.28155087,87.1916809333587,1.1,56.2,300.0,15.0,,100000,470.0,92.0,38.7,25.0,160.0,--,C,Low,C2
110001001,31.5,421.0,7.13,1001.0,,72.0,23.42,1.67,0.74,0.083,25.04960317,87.4914855409004,1.1,57.3,300.0,15.0,,100000,460.0,91.0,39.3,24.6,200.0,+-,B,Low,B2
110001001,31.5,410.0,9.9,1001.0,,73.0,23.94,1.71,0.760456274,0.083,25.60202788,87.3552425665102,1.1,56.8,300.0,15.0,,100000,630.0,,36.9,26.7,90.0,-+,D,Low,D2
110000000,,446.0,4.6,1001.0,,68.0,21.4,1.4,0.68,0.083,22.90249433,88.040260509177,1.1,59.5,1200.0,,0.0,100000,530.0,88.01,37.3,25.58,210.0,++,A,Low,A2
100010000,31.0,445.0,,1.0,70.1,91.0,18.2,1.8,0.91,0.0,18.18181818,91.4163090128755,0.94,52.4,60.0,15.0,1368.0,100000,,93.0,43.8,20.0,400.0,+-,B,High,B1
100100000,31.5,444.2,,1000.0,18.0,183.0,1.83,,,0.056,4.468819825,98.4582501138792,1.05,35.4,120.0,10.0,,11000,,,102.56,35.37,1015.0,++,A,High,A1
110100000,31.5,437.0548597424652,,1000.0,18.0,189.0,1.9,,,0.056,4.62962963,98.4395503067702,1.05,34.5,120.0,10.0,,11000,,,68.9,35.95,627.0,++,A,High,A1
110100000,31.5,428.5383997531968,,1000.0,18.0,196.4,1.97,,,0.056,4.811898513,98.419369903366,1.05,33.7,120.0,10.0,,11000,,,66.27,36.43,497.0,++,A,High,A1
110100000,31.5,418.130904255628,,1000.0,18.0,206.0,2.1,,,0.056,5.01939311,98.3976109836483,1.05,32.8,120.0,10.0,,11000,,,66.03,36.36,396.0,++,A,High,A1
110000000,,446.0,4.6,1001.0,,97.0,30.5,1.9,0.97,0.083,32.68608414,85.8245614035088,1.03,50.7,,,0.0,100000,516.0,91.1,35.5,26.6,190.0,-+,D,Low,D2
110010000,,435.8960503674216,4.432762212978012,1001.0,,97.1,30.5,1.9,0.97,0.083,32.68608414,85.8245614035088,1.03,50.7,,,0.0,100000,448.0,89.5,36.6,24.7,200.0,+-,B,Low,B2
110010000,,425.5281062532403,4.261154862122596,1001.0,,97.0,30.5,1.9,0.97,0.083,32.68608414,85.8245614035088,1.03,50.7,,,0.0,100000,480.0,90.1,37.5,24.9,220.0,+-,B,Low,B2
110010000,,413.5933891491923,4.063614716952147,1001.0,,97.0,30.5,1.9,0.97,0.083,32.68608414,85.8245614035088,1.03,50.7,,,0.0,100000,739.0,92.2,36.6,25.9,190.0,-+,D,Low,D2
110010000,,387.9340890822916,3.638909060672413,1001.0,,96.5,30.5,1.9,0.97,0.083,32.68608414,85.8245614035088,1.03,50.7,,,0.0,100000,748.0,95.6,35.6,27.5,150.0,-+,D,Low,D2
1010000000,33.6,,,1000.0,,,,,,,,,1.5,,,15.0,0.0,100000,,,25.1,35.0,49.1,-+,D,Low,D2
1010010000,33.6,,,1000.0,,,,,,,,,1.5,,,15.0,0.0,100000,205.0,,31.0,33.9,56.6,-+,D,Low,D2
1010010000,33.6,,,1000.0,,,,,,,,,1.5,,,15.0,0.0,100000,180.0,,35.7,32.9,67.7,-+,D,Low,D2
1010010000,33.6,,,1000.0,,,,,,,,,1.5,,,15.0,0.0,100000,195.0,,41.6,31.9,77.8,-+,D,High,D1
1010010000,33.6,,,1000.0,,,,,,,,,1.5,,,15.0,0.0,100000,208.0,,45.7,28.8,71.8,-+,D,High,D1
