DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,CS_rate,CS_TD,Closed_CC,S_CS
100010000,31,450,5.3,1000,18,62,1.24,1.55,0,0.14,3.791011856,97.69999582,1.48,61.7,180,8,648,0,230.444,0.001666667,0,90.038,4.391752577
100010000,31,450,6.6,1000,18,62,1.24,1.55,0,0.14,3.791011856,97.69999582,1.48,61.7,180,8,648,0,219,0.001666667,0,95.5,4.114942529
100010000,31,480,7.1,1000,18,60,1.22,1.52,0,0.14,3.71948333,97.72652116,1.44,62.16,180,8,648,0,247,0.001666667,0,94.6,4.579646018
100010000,31,485,7.3,1000,18,60,1.21,1.5,0,0.14,3.70819849,97.73074225,1.42,62.24,180,8,648,0,227,0.001666667,0,95.3,4.483568075
100010000,31,500,7.4,1000,18,60,1.21,1.5,0,0.14,3.674751119,97.743312,1.38,62.45,180,8,648,0,200,0.001666667,0,92.2,4.852320675
100010000,31,515,7.9,1000,18,59.6,1.192,1.49,0,0.14,3.641901735,97.75574326,1.35,62.66,180,8,648,0,211,0.001666667,0,91,4.630350195
111000000,32.6,408.0469043,4.635044346,1000,18,76.96795795,1.694910929,1.6,2,0.075,4.342105263,98.16819317,1.1,54.4,10,10,18.5,101000,235.549,0.0029487,0,84,8.5
111010000,32.6,303.7719002,4.735066013,1000,18,87.13900761,3.450439872,3.7,4.5,0.072,9.346405229,97.69892992,1.1,54.4,10,10,18.5,101000,172.8,0.003888909,0,89,6.532258065
111000000,32.6,408.0469043,4.633657677,1000,18,77.65191814,1.694910929,1.6,2,0.075,4.342105263,98.16819317,1.1,54.4,10,10,18.5,101000,235.76627,0.002949225,1,84,6.523809524
111010000,32.6,303.7719002,4.984558365,1000,18,87.55449948,3.453438072,3.7,4.5,0.072,9.346405229,97.69892992,1.1,54.4,10,10,18.5,101000,188.43802,0.003879763,1,89,4.564516129
110100000,31.5,407.3649779,5.380693662,1000,18,80,2.16,2.4,0.8,0.15,5.28,97.11412331,1.3,55.56,60,10,185.68,100000,566,0.001666667,0,81,5.905128205
110100000,31.5,407.3649779,5.812347418,1000,18,80,2.16,2.4,0.8,0.15,5.28,97.11412331,1.3,55.56,60,10,178.095,100000,546.16052,0.001666667,1,81,3.871794872
110000000,31,440,4.5,1000,18.45420513,85.47008547,2.991452991,1.282051282,1.282051282,0.194444444,7.312440646,96.50956338,1.1,58.90681791,203.55,10.5,35.93,100000,102.7,0.002528736,0,88.4,8.425110132
110010000,31,429,4.524338235,1000,18,89.28571429,3.125,1.339285714,1.339285714,0.194444444,7.638888889,96.51252898,1.1,58.70789068,132.55,10.59,35.37,100000,96.1,0.002528736,0,88.4,8.092760181
110010000,31,417.0434783,4.550792839,1000,18,92.59259259,3.240740741,1.388888889,1.388888889,0.194444444,7.9218107,96.49663175,1.1,58.17719827,133.1,10.25,29.76,100000,115.1,0.002528736,0,87.1,7.438095238
110010000,31,404,4.579652406,1000,18,97.08737864,3.398058252,1.45631068,1.45631068,0.194444444,8.306364617,96.42341819,1.1,57.40695709,123.2,12.18,32.935,100000,125.1,0.002528736,0,86.6,6.954653938
110010000,31,428.9540502,4.474916586,1000,18,89.28571429,3.125,1.339285714,1.339285714,0.194444444,7.638888889,96.44193494,1.1,58.74989068,135.55,10.85,35.85,100000,98.2,0.002528736,0,88.1,8.639269406
110010000,31,416.9357072,4.447625037,1000,18,93.45794393,3.271028037,1.401869159,1.401869159,0.194444444,7.995846314,96.50214127,1.1,57.85023513,132.85,10.59,33.895,100000,89,0.002528736,0,87.9,8.039534884
110010000,31,403.810657,4.417820351,1000,18,97.08737864,3.398058252,1.45631068,1.45631068,0.194444444,8.306364617,96.41721011,1.1,57.48223725,125.9,12.56,37.54,100000,85.6,0.002528736,0,86.4,8.200483092
110000000,31,440,4.5,1000,18.45420513,85.47008547,2.991452991,1.282051282,1.282051282,0.194444444,7.312440646,96.47910579,1.1,58.81532041,198.65,9.93,29.8,100000,88.322,0.002528736,1,88.4,4.207048458
110010000,31,429,4.524338235,1000,18,89.28571429,3.125,1.339285714,1.339285714,0.194444444,7.638888889,96.51611194,1.1,58.6282739,134.1,10.06,37.5,100000,78.802,0.002528736,1,88.4,3.936651584
110010000,31,417.0434783,4.550792839,1000,18,92.59259259,3.240740741,1.388888889,1.388888889,0.194444444,7.9218107,96.50021471,1.1,58.05787234,133.1,10.18,26.785,100000,88.627,0.002528736,1,87.1,3.928571429
110010000,31,404,4.579652406,1000,18,97.08737864,3.398058252,1.45631068,1.45631068,0.194444444,8.306364617,96.42250802,1.1,57.38503117,123.1,12.16,26.97,100000,96.327,0.002528736,1,86.6,3.484486874
110010000,31,428.9540502,4.474916586,1000,18,89.28571429,3.125,1.339285714,1.339285714,0.194444444,7.638888889,96.49162884,1.1,58.6282739,134.1,9.98,44.22,100000,73.65,0.002528736,1,88.1,4.223744292
110010000,31,416.9357072,4.447625037,1000,18,93.45794393,3.271028037,1.401869159,1.401869159,0.194444444,7.995846314,96.50572423,1.1,57.7729092,134.4,10.1,43.4,100000,65.86,0.002528736,1,87.9,4.209302326
110010000,31,403.810657,4.417820351,1000,18,97.08737864,3.398058252,1.45631068,1.45631068,0.194444444,8.306364617,96.42608668,1.1,57.37031133,126.15,12.08,43.87,100000,60.776,0.002528736,1,86.4,4.106280193
101000000,31.6675,534,4.765550894,0,0,97.1,0,1.550037105,0,0,0,100,1.57,50.7,600,10,0,100000,588,0.001666667,0,77.9705,4.806358382
101001000,31.6355,525.1452461,4.891382659,101,148.1,97.1,0.87,1.313719893,0.049,0,0.873786408,99.55979457,1.56,50.7,600,10,0,100000,548,0.001666667,0,78.3898,4.312684366
101001000,31.581,532.253237,4.867674915,1,148.1,97.1,1.7,1.358946047,0.1,0,1.747572816,99.12578922,1.54,50.7,600,10,0,100000,448,0.001666667,0,78.5604,4.817679558
101001000,31.479,518.7079628,4.891271127,1,148.1,97.1,2.6,1.348773459,0.15,0,2.621359223,98.69785387,1.53,50.7,600,10,0,100000,393,0.001666667,0,79.7204,3.858513189
101001000,31.2795,506.7876447,4.908714834,1,148.1,97.1,3.5,1.320259035,0.2,0,3.495145631,98.27586207,1.52,50.7,600,10,0,100000,255,0.001666667,0,77.6201,2.549718574
101100000,31.6175,529.5387247,4.917020947,1,148.1,97.1,0.87,1.332435579,0.06456,0,0.873786408,99.55979457,1.57,50.7,600,10,0,100000,419,0.001666667,0,78.9794,4.918309859
101100000,31.4455,527.1587061,4.734200928,1,148.1,97.1,1.7,1.335387267,0.10239,0,1.747572816,99.12578922,1.56,50.7,600,10,0,100000,347,0.001666667,0,78.103,5.093506494
101100000,31.402,521.9345243,4.620826915,1,148.1,97.1,2.6,1.318329493,0.14549,0,2.621359223,98.69785387,1.54,50.7,600,10,0,100000,305,0.001666667,0,81.1249,4.930288462
101100000,31.358,512.657604,4.777013441,1,148.1,97.3,3.5,1.34053731,0.191,0,3.495145631,98.27586207,1.53,50.7,600,10,0,100000,304,0.001666667,0,79.9979,3.739336493
110010000,31.5,424.1715521,5.24330172,101,87.24417062,72.5,1.1,1.45,0.72,0.078200667,22.77657267,88.45307918,1.1,58,1200,20,0,100000,518,0.002021984,1,97,4.774535809
110010000,31.5,424.1715521,5.239004928,101,87.24417062,72,1.08,1.44,0.72,0.078200667,22.67818575,88.4784199,1.1,58.1,1200,20,0,100000,522,0.002021984,1,97,4.746835443
110010000,31.5,424.1715521,4.989425737,101,87.24417062,72.5,1.1,1.45,0.72,0.076498222,22.77657267,88.45307918,1.1,58,1200,20,0,100000,515,0.002021984,0,97,6.100795756
110010000,31.5,424.1715521,5.116606969,101,87.24417062,72,1.08,1.44,0.72,0.076498222,22.67818575,88.4784199,1.1,58.1,1200,20,0,100000,519,0.002021984,0,97,5.537974684
