DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,AD(kg/m3)
110000000,31,430,6.215186933,1000,18,62.5,1.25,1.6,0.62,0.14,3.819444444,97.69826323,1.5,61.54,180,8,648,10000,240.594,55.4
100010000,31,450,5.3,1000,18,62,1.24,1.55,0,0.14,3.791011856,97.69999582,1.48,61.7,180,8,648,0,228.503,48.5
100010000,31,450,6.6,1000,18,62,1.24,1.55,0,0.14,3.791011856,97.69999582,1.48,61.7,180,8,648,0,219,43.5
100010000,31,480,7.1,1000,18,60,1.22,1.52,0,0.14,3.71948333,97.72652116,1.44,62.16,180,8,648,0,247,45.2
100010000,31,485,7.3,1000,18,60,1.21,1.5,0,0.14,3.70819849,97.73074225,1.42,62.24,180,8,648,0,227,42.6
100010000,31,500,7.4,1000,18,60,1.21,1.5,0,0.14,3.674751119,97.743312,1.38,62.45,180,8,648,0,200,47.4
100010000,31,515,7.9,1000,18,59.6,1.192,1.49,0,0.14,3.641901735,97.75574326,1.35,62.66,180,8,648,0,211,51.4
111000000,32.6,408.0469043,4.777912893,1000,18,79.7721685,1.8,1.6,2,0.075,4.342105263,98.16819317,1.1,54.4,10,10,18.5,101000,254.25,84
111010000,32.6,303.7719002,4.463008366,1000,18,79.49298053,3.8,3.7,4.5,0.072,9.346405229,97.69892992,1.1,54.4,10,10,18.5,101000,172.8,62
110100000,31.5,407.3649779,4.80972845,1000,18,80,2.16,2.4,0.8,0.15,5.28,97.11412331,1.3,55.56,60,10,115.47,100000,566,39
101000000,31,240,2,1001,38.3816767,80.20313805,5.895650448,1.778057412,2.588322252,0.124705556,6.033316511,96.45071032,1.1,53.28169976,60,15,0,10100,480,38.1
110000000,31.25,450,4.498110727,1000,18,77.86997583,1.49128057,1.557399517,3.114799033,0.11,3.806976596,97.93211004,1.05,56.93536921,15,12.37,0,100100,311.29,131
110100000,31.25,406.1496156,4.547863258,1000,18,64.98945951,2.4632471,1.744209682,1.95742001,0.11,6.451502111,97.33980118,1.05,52.93427116,15,12.04,0,100100,304.417,73.6
110100000,31.25,405.5983268,4.570020973,1000,18,65.09703011,2.42528044,1.731998712,2.029089897,0.11,6.521796989,97.32792551,1.05,52.40711468,15,13.27,0,100100,314.871,86.1
110100000,31.25,406.4678577,4.552089489,1000,18,65.25392814,2.365697418,1.689509819,2.094662127,0.11,6.436526633,97.34235083,1.05,52.61341205,15,12.72,0,100100,309.771,101
110100000,31.25,406.4678577,4.57462882,1000,18,65.09703011,2.375594943,1.716365689,2.033936657,0.11,6.378693502,97.35226293,1.05,52.57841205,15,12.98,0,100100,310.841,90.4
100100000,31.25,433.488642,3.437041681,1000,18,62.75868586,11.53378966,2.258499868,3.564494976,0.11,21.12838806,96.27197825,1.05,47.28833998,15,15.93,0,100100,378,85.4
100100000,31.25,440.5446335,3.5892587,1000,18,64.71966672,10.58870215,2.267450257,3.602244073,0.11,22.73331272,96.22495352,1.05,46.96290263,15,15.82,0,100100,248,94.6
100100000,31.25,431.8602918,3.521546037,1000,18,68.06033799,11.15225503,2.200506533,3.588869259,0.11,20.81123962,96.28197569,1.05,47.09033998,15,15.46,0,100100,370,106
100100000,31.25,423.3457965,3.096998947,1000,18,63.48081593,11.16694044,2.252797099,3.480326039,0.11,19.65864916,96.32051665,1.05,47.47101517,15,14.5,0,100100,405,72.1
110000010,31,436,2,1000,18,46.4,2.3,0.7,0.93,0.278,5.671564836,96.2962963,1.1,68.3,60,15,0,100000,331,32.74
110100010,31,418.1668164,2,1000,18,51.7,2.6,0.78,1,0.278,6.316393913,96.03174603,1.1,66,60,15,0,100000,393,29.66
110100010,31,402.0318976,2,1000,18,55.6,2.8,0.83,1.1,0.278,6.797676431,95.84701929,1.1,64.3,60,15,0,100000,410,28.16
110100010,31,394.5269879,2,1000,18,57.3,2.9,0.86,1.1,0.278,7.000127275,95.77232023,1.1,63.6,60,15,0,100000,422,29.1
110000000,31,440,4.5,1000,18,85.47008547,2.991452991,1.282051282,1.282051282,0.194444444,7.312440646,96.16908205,1.1,58.57554882,95.67,7.72,13.42,100000,102.7,45.4
110010000,31,429,4.524338235,1000,18,89.28571429,3.125,1.339285714,1.339285714,0.194444444,7.638888889,96.29422877,1.1,58.94648789,90.29,8.41,14.37,100000,96.1,44.2
110010000,31,417.0434783,4.550792839,1000,18,92.59259259,3.240740741,1.388888889,1.388888889,0.194444444,7.9218107,96.31688114,1.1,58.47313491,84.9,7.52,22.05,100000,115.1,42
110010000,31,404,4.579652406,1000,18,97.08737864,3.398058252,1.45631068,1.45631068,0.194444444,8.306364617,96.2973194,1.1,57.60831898,78.22,7.79,32.14,100000,125.1,41.9
110010000,31,428.9540502,4.474916586,1000,18,89.28571429,3.125,1.339285714,1.339285714,0.194444444,7.638888889,96.29079077,1.1,58.94648789,90.44,8.28,14.37,100000,98.2,43.8
110010000,31,416.9357072,4.447625037,1000,18,93.45794393,3.271028037,1.401869159,1.401869159,0.194444444,7.995846314,96.31134912,1.1,58.23142577,82.59,7.57,28.29,100000,89,43
110010000,31,403.810657,4.417820351,1000,18,97.08737864,3.398058252,1.45631068,1.45631068,0.194444444,8.306364617,96.29334011,1.1,57.69160983,80.47,7.79,40.87519,100000,85.6,41.4
101000000,31,240,4.093161866,1001,44.47152104,62.5,13.76,1.56,4.25,0.152,7.638888889,95.64735676,2,61.5,30,30,0,10100,345,36
101100000,31,253.5895632,4.133161866,1001,44.47152104,62.55,13.76,1.56,4.25,0.152,7.638888889,95.64735676,2,61.5,30,30,0,10100,320,37
101100000,31,266.1538462,4.166161866,1001,44.47152104,62.5,13.76,1.56,4.25,0.152,7.638888889,95.64735676,2,61.5,30,30,0,10100,310,38
101100000,31,277.8135353,4.237682786,1001,44.47152104,62.6,13.76,1.56,4.25,0.152,7.638888889,95.64735676,2,61.5,30,30,0,10100,280,39
110000000,31,400,3.72020444,101,116.5424034,84.27773391,8.252521387,1.548249015,0.958552047,0.017251111,9.365705473,95.48001465,1.2131,54.06374484,120,9,274.85038,100000,247,33.3
100100000,30,577.6,6,1000,18,50,1,1.95,1.75,0.011,55,68.67881549,1.4,66.7,158.72,17,374.75,100000,323.748,46.8
100100000,30,577.6,6,1000,18,45,1.4,1.78,1.6,0.0167,50,70.36637931,1.5,68.75,151.82,16.43,386.51,100000,325.851,44.3
100100000,30,500.6,6,1000,18,36,0.71,1.4,1.25,0.011,39.28571429,74.48979592,2.4,73.7,177.71,18.25,362.76,100000,316.873,46.4
100100000,30,531.8,6,1000,18,62.5,1.25,1.44,2.2,0.011,68.75,64.6529563,1.2,61.5,136.6,17.25,350.53,100000,350.005,58
100100000,30,531.8,6,1000,18,55.6,1.67,1.28,1.9,0.0167,61.11111111,66.78743961,1.3,64.3,160.29,17.02,371.63,100000,333.59,45.1
100100000,30,450.4,6,1000,18,45,1.4,1,1.6,0.0167,50,70.36637931,1.8,68.75,166.24,17.59,368.38,100000,303.016,51.6
101000000,31.3755,534,4.681985312,0,0,97.1,0,1.718941751,0,0,0,100,1.57,50.7,600,10,0,100000,588,34.6
101001000,31.374,499.0277115,4.539206829,101,148.1,97.1,0.87,1.733058074,0.049,0,0.873786408,99.55979457,1.56,50.7,600,10,0,100000,548,33.9
